,name,category,github_id,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,gitlab_id
0,Dogecoin,blockchain,dogecoin/dogecoin,['PoW'],https://github.com/dogecoin/dogecoin,https://github.com/dogecoin/dogecoin,MIT,2013-12-06 11:38:05,2021-04-29 13:54:39,2021-02-28 17:15:53,1314.0,108.0,535.0,7092.0,13532.0,2021-02-28 21:14:19,1.14.3,7755796.0,88134.0,36.0,very currency.,552.0,28,True,1.0,,,
1,Ethereum,blockchain,ethereum/go-ethereum,"['PoW', 'PoS']",https://github.com/ethereum/go-ethereum,https://github.com/ethereum/go-ethereum,LGPL-3.0,2013-12-26 13:05:46,2021-04-29 18:17:08,2021-04-29 17:30:37,10061.0,187.0,5335.0,29763.0,12536.0,2021-04-08 11:05:48,1.10.2,109153.0,1819.0,100.0,Official Go implementation of the Ethereum protocol.,595.0,27,True,1.0,,,
2,EOS,blockchain,EOSIO/eos,['dPoS'],https://github.com/EOSIO/eos,https://github.com/EOSIO/eos,MIT,2017-04-05 17:09:53,2021-04-29 18:07:17,2021-04-19 19:31:09,3327.0,251.0,4695.0,11141.0,15791.0,2021-04-19 21:05:35,2.0.12,65929.0,1883.0,100.0,An open source smart contract platform.,260.0,27,True,1.0,,,
3,Dash,blockchain,dashpay/dash,['PoW'],https://github.com/dashpay/dash,https://github.com/dashpay/dash,MIT,2014-05-01 17:45:34,2021-04-29 16:14:53,2020-11-15 21:41:25,1065.0,77.0,494.0,1365.0,17989.0,2020-11-17 16:49:04,0.16.1.1,85322542.0,1080032.0,45.0,Dash - Reinventing Cryptocurrency.,496.0,27,True,1.0,,,
4,Bitcoin,blockchain,bitcoin/bitcoin,['PoW'],https://github.com/bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,MIT,2010-12-19 15:16:43,2021-04-29 18:17:51,2021-04-29 14:18:28,19523.0,581.0,5599.0,52693.0,28714.0,2021-01-15 19:52:11,0.21.0,,,34.0,Bitcoin Core integration/staging tree.,962.0,25,True,2.0,,,
5,Chainlink,blockchain,smartcontractkit/chainlink,[],https://github.com/smartcontractkit/chainlink,https://github.com/smartcontractkit/chainlink,MIT,2017-11-20 19:50:46,2021-04-29 16:34:26,2021-04-29 11:06:03,468.0,33.0,165.0,1816.0,14316.0,2021-04-26 19:31:13,0.10.5,,,44.0,"node of the decentralized oracle network, bridging on and off-chain computation.",85.0,24,True,2.0,182.0,182.0,
6,TRON,blockchain,tronprotocol/java-tron,['dPoS'],https://github.com/tronprotocol/java-tron,https://github.com/tronprotocol/java-tron,LGPL-3.0,2017-12-26 10:20:38,2021-04-29 10:54:05,2021-04-29 08:09:47,811.0,7.0,799.0,2633.0,15512.0,2021-04-27 11:01:41,GreatVoyage-v4.2.0,61447.0,1536.0,55.0,Java implementation of the Tron whitepaper.,218.0,23,True,3.0,,,
7,Monero,blockchain,monero-project/monero,['PoW'],https://github.com/monero-project/monero,https://github.com/monero-project/monero,,2014-04-30 14:38:28,2021-04-29 16:25:06,2021-04-22 05:51:01,1942.0,456.0,1980.0,5737.0,10323.0,2021-04-11 13:20:56,0.17.2.0,28492.0,452.0,39.0,"Monero: the secure, private, untraceable cryptocurrency.",345.0,22,False,3.0,,,
8,Litecoin,blockchain,litecoin-project/litecoin,['PoW'],https://github.com/litecoin-project/litecoin,https://github.com/litecoin-project/litecoin,MIT,2012-06-13 04:18:26,2021-04-23 15:25:11,2020-04-29 05:57:07,2483.0,50.0,361.0,3776.0,19973.0,2020-06-11 19:52:19,0.18.1,,,12.0,Litecoin source tree.,755.0,22,True,3.0,,,
9,Zcash,blockchain,zcash/zcash,['PoW'],https://github.com/zcash/zcash,https://github.com/zcash/zcash,,2014-11-22 03:13:10,2021-04-29 16:54:49,2021-04-22 06:01:42,1159.0,871.0,2250.0,4385.0,14996.0,2021-04-15 08:58:19,4.4.0,222.0,4.0,47.0,Zcash - Internet Money.,574.0,21,False,3.0,,,
